name,final,return_pct,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p12% hard5.0% trail15% rsiNone,843.9490103553901,-0.15605098964460995,-0.35614726007621267,21,10,0.2,2,8,0,0,True
p10% hard7.5% trail8% rsi55,842.8727491026549,-0.15712725089734514,-0.252288852429872,15,7,0.14285714285714285,1,1,5,0,True
p10% hard10.0% trail8% rsi55,842.8727491026549,-0.15712725089734514,-0.252288852429872,15,7,0.14285714285714285,1,0,6,0,True
p10% hard5.0% trail10% rsi65,842.2424385384589,-0.15775756146154107,-0.27776487475377,25,12,0.25,2,6,4,0,True
p8% hard5.0% trail12% rsi65,842.1647455932535,-0.1578352544067465,-0.25920687318748203,23,11,0.2727272727272727,3,7,1,0,True
p6% hard10.0% trail12% rsi65,841.7578706587415,-0.15824212934125859,-0.2767439713089186,19,9,0.4444444444444444,4,3,2,0,True
reentry drop2% timeout5,841.6172651330963,-0.15838273486690368,-0.2469494543492533,21,10,0.4,4,5,1,0,True
p12% hard7.5% trail15% rsi70,841.575210852959,-0.15842478914704095,-0.4052833742333126,17,8,0.25,2,4,2,0,True
p10% hard7.5% trail15% rsi60,841.0301780698237,-0.15896982193017628,-0.32922023404171763,19,9,0.3333333333333333,3,5,1,0,True
p10% hard5.0% trail15% rsiNone,841.0123997010822,-0.15898760029891779,-0.32821401168578623,25,12,0.25,3,9,0,0,True
p10% hard5.0% trail15% rsi70,840.5828008710461,-0.1594171991289539,-0.325819976202289,25,12,0.25,3,9,0,0,True
p6% hard7.5% trail10% rsi60,840.3508230140461,-0.15964917698595393,-0.3028598163144183,25,12,0.4166666666666667,4,3,5,0,True
p6% hard10.0% trail10% rsi60,839.8941978226549,-0.16010580217734516,-0.30323862449914785,25,12,0.4166666666666667,4,1,7,0,True
p10% hard7.5% trail10% rsi60,839.6100562162691,-0.16038994378373095,-0.3106154493541974,23,11,0.36363636363636365,3,4,4,0,True
reentry drop2% timeout3,838.2889124226944,-0.16171108757730568,-0.3029747039046893,23,11,0.36363636363636365,4,5,2,0,True
p6% hard7.5% trail8% rsi55,838.2651795796695,-0.1617348204203305,-0.2361559953142105,17,8,0.25,2,1,5,0,True
p6% hard10.0% trail8% rsi55,838.2651795796695,-0.1617348204203305,-0.2361559953142105,17,8,0.25,2,0,6,0,True
p12% hard7.5% trail12% rsi70,838.2234731719951,-0.16177652682800492,-0.3653737097730967,23,11,0.2727272727272727,3,4,4,0,True
LIVE + macro strict,835.8683424076777,-0.1641316575923223,-0.27921886045488553,13,6,0.3333333333333333,2,3,1,0,True
LIVE + macro balanced,835.8683424076777,-0.1641316575923223,-0.27921886045488553,13,6,0.3333333333333333,2,3,1,0,True
p10% hard10.0% trail10% rsi60,834.768928776534,-0.16523107122346592,-0.3145903880057195,23,11,0.36363636363636365,3,1,7,0,True
p6% hard5.0% trail10% rsi55,831.2228894457223,-0.1687771105542777,-0.24257307099516723,19,9,0.3333333333333333,3,6,0,0,True
p6% hard5.0% trail12% rsi55,831.2228894457223,-0.1687771105542777,-0.24257307099516723,19,9,0.3333333333333333,3,6,0,0,True
p6% hard5.0% trail15% rsi55,831.2228894457223,-0.1687771105542777,-0.24257307099516723,19,9,0.3333333333333333,3,6,0,0,True
p8% hard7.5% trail8% rsi55,830.0549460667753,-0.16994505393322468,-0.252288852429872,15,7,0.14285714285714285,1,1,5,0,True
p8% hard10.0% trail8% rsi55,830.0549460667753,-0.16994505393322468,-0.252288852429872,15,7,0.14285714285714285,1,0,6,0,True
LIVE + VIX 5d spike <= 25%,828.0012917445771,-0.17199870825542296,-0.2872577038579518,17,8,0.375,3,4,1,0,True
p12% hard5.0% trail12% rsi55,827.22569648332,-0.17277430351668,-0.28044849941439143,15,7,0.14285714285714285,1,5,1,0,True
p6% hard7.5% trail10% rsi65,826.8498099424298,-0.17315019005757015,-0.3028598163144184,27,13,0.38461538461538464,4,3,6,0,True
p10% hard7.5% trail10% rsi65,826.1209442482703,-0.17387905575172968,-0.3106154493541977,25,12,0.3333333333333333,3,4,5,0,True
p8% hard7.5% trail15% rsi65,825.9998856226756,-0.17400011437732443,-0.3252220659599083,17,8,0.375,3,5,0,0,True
p6% hard10.0% trail10% rsi65,825.9992165784678,-0.17400078342153225,-0.30323862449914774,27,13,0.38461538461538464,4,1,8,0,True
p12% hard7.5% trail15% rsiNone,825.7957662757602,-0.17420423372423977,-0.41196673317927157,17,8,0.25,2,4,2,0,True
p12% hard7.5% trail12% rsiNone,825.5298958353284,-0.17447010416467168,-0.37019929071455404,23,11,0.2727272727272727,3,5,3,0,True
p12% hard10.0% trail15% rsi55,825.0545487771437,-0.17494545122285632,-0.2997878732305942,9,4,0.25,1,2,1,0,True
